dataset,model_type,num_samples,inference_time_seconds,inference_time_per_sample,person_precision,person_recall,person_f1,entity_f1_macro,token_accuracy,timestamp,model_size_mb
a,TITLE,934,43.862422943115234,0.046961908932671555,0.7368421052631579,0.21424802110817942,0.3319705641864268,0.5733926895006207,0.933577281043672,2025-06-11T00:55:05.539465,484.5404739379883
conllpp_train,TITLE,1499,66.74207282066345,0.04452439814587288,0.771280532938564,0.8741610738255033,0.8195045222178529,0.4330080750624148,0.9756788578997718,2025-06-11T00:56:12.615814,484.5404739379883
KAGGLE,TITLE,4796,227.2893488407135,0.0473914405422672,0.4385164051355207,0.6779885310983679,0.5325710325710327,0.5677962845272393,0.9668571919721518,2025-06-11T01:00:01.283590,484.5404739379883
ritter,TITLE,240,11.907197952270508,0.049613324801127116,0.7840909090909091,0.9452054794520548,0.8571428571428572,0.9285714285714286,0.9953136810279667,2025-06-11T01:00:13.277436,484.5404739379883
WNUT,TITLE,569,27.528472661972046,0.04838044404564507,0.8152173913043478,0.7211538461538461,0.7653061224489796,0.7704081632653061,0.9888964577656676,2025-06-11T01:00:40.986088,484.5404739379883
a,NO-TITLE,934,45.74634027481079,0.04897895104369464,0.7136258660508084,0.16306068601583112,0.2654639175257732,0.2654639175257732,0.9313101583008512,2025-06-11T01:01:27.182058,484.5286560058594
conllpp_train,NO-TITLE,1499,68.35237050056458,0.0455986460977749,0.7460097154753643,0.9018456375838926,0.8165590581086214,0.8165590581086214,0.9808668776216057,2025-06-11T01:02:35.865564,484.5286560058594
KAGGLE,NO-TITLE,4796,228.60076379776,0.04766487985774812,0.484160191273162,0.7146007940008823,0.5772314270443614,0.5772314270443614,0.9731746099961321,2025-06-11T01:06:25.790885,484.5286560058594
result,NO-TITLE,1499,68.44162487983704,0.045658188712366266,0.7460097154753643,0.9018456375838926,0.8165590581086214,0.8165590581086214,0.9808668776216057,2025-06-11T01:07:34.574573,484.5286560058594
ritter,NO-TITLE,240,11.959414720535278,0.049830894668896994,0.7,0.863013698630137,0.7730061349693251,0.7730061349693251,0.9942554799697657,2025-06-11T01:07:46.619192,484.5286560058594
test,NO-TITLE,1499,68.7006425857544,0.045830982378755436,0.7460097154753643,0.9018456375838926,0.8165590581086214,0.8165590581086214,0.9808668776216057,2025-06-11T01:08:55.657599,484.5286560058594
WNUT,NO-TITLE,569,27.693791389465332,0.04867098662471939,0.7873134328358209,0.6762820512820513,0.7275862068965517,0.7275862068965517,0.988283378746594,2025-06-11T01:09:23.527613,484.5286560058594
